ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1330,26897,Academia Militar das Agulhas Negras AMAN,,27705,26135,11401,6033
1331,26951,Faculdade Brasileira de Estudos Avançados FABEA,,22721,27005,11401,6033
1332,26970,Instituto Evolução,,26050,26817,11401,6033
1333,26979,Faculdade de Teologia e Filosofia Siloé,,25847,26854,11401,6033
1334,26998,Faculdade Presbiteriana Augusto Galvão,,20840,27117,11401,6033
1335,27030,Centro Educacional do Alto São Francisco,,28051,26125,11401,6033
1336,27048,Faculdade de Tecnologia Pedro Rogério Garcia FATTEP,,23731,27063,11401,6033
1337,27051,Faculdade Antônio Propício Aguiar Franco FAPAF,,27062,26782,11401,6033
1338,27054,Faculdade Cenecista de Nova Petropolis FACENP,,25410,26977,11401,6033
1339,27057,Faculdade para o Desenvolvimento Sustentável do Nordeste FADESNE,,19772,27227,11401,6033
1340,27057,Autarquia Municipal de Ensino de Poços de Calda,,26709,26871,11401,6033
1341,27104,Faculdade Mantenense dos Vales Gerais INTERVALE,,21201,27248,11401,6033
1342,27130,Instituto de Ensino Superior de Paraíba Faculdade de Filosofia Ciências e Letras FAFIL,,27177,26871,11401,6033
1343,27135,UNIFATEC,,24395,27130,11401,6033
1344,27153,ISEPE Guaratuba,,19546,27358,11401,6033
1345,27157,Faculdade Evangélica do Piauí FAEPI,,25279,27117,11401,6033
1346,27165,Faculdades ISEIB,,25900,27086,11401,6033
1347,27177,Faculdade Unida de Vitória,,18167,27403,11401,6033
1348,27184,Faculdade Alagoana de Administração Instituto de Ensino Superior de Alagoas FAA IESA,,22768,27250,11401,6033
1349,27200,Unidez Faculdade itanhaém,,24928,27169,11401,6033
1350,27238,Faculdade Madre Tereza,,19741,27424,11401,6033
1351,27256,Fundação Universitária de Apoio ao Ensino FURNE,,26336,27158,11401,6033
1352,27269,Faculdade Brasileira de Educação e Cultura FABEC,,20977,27424,11401,6033
1353,27269,Faculdade de Roseira FARO Centro de Estudos Ambientais do Vale do Paraíba CEAVAP,,16858,27520,11401,6033
1354,27274,Faculdade Casa Branca,,25661,27227,11401,6033
1355,27292,Faculdade Cenecista de Itaboraí,,25390,27263,11401,6033
1356,27307,Faculdade da Região Serrana FARESE,,25443,27292,11401,6033
1357,27376,aculdade Catolica de Mato Grosso FACC,,21760,27489,11401,6033
1358,27411,Faculdade Batista ABC FABC,,25528,27421,11401,6033
1359,27427,Grupo Educacional Athenas,,25171,27432,11401,6033
