ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
183,595,Worcester Polytechnic Institute,,1448,373,609,972
184,597,(3) University of Texas Medical Branch Galveston,,2462,862,407,601
185,604,University of Toledo,,1643,602,663,756
186,608,University of Montana Missoula,,1366,450,721,895
187,625,California State University Fullerton,,1997,235,612,1277
188,635,University of North Carolina at Greensboro,,1094,469,623,958
189,636,University of Texas El Paso,,1452,583,501,899
190,640,University of Memphis (including Lambuth),,2406,586,430,891
191,650,Miami University of Ohio,,1471,482,586,1005
192,652,University of Nebraska Medical Center,,2375,1064,485,599
193,665,Missouri University of Science & Technology,,1293,806,572,791
194,674,San José State University,,1202,224,1167,1391
195,676,Creighton University,,1926,439,838,1042
196,678,University of North Dakota,,2177,329,1144,1129
197,682,Bowling Green State University,,1537,368,664,1238
198,683,Depaul University,,1094,302,761,1350
199,684,University of Massachusetts Lowell,,1643,527,653,1017
200,687,California Polytechnic State University Cal Poly,,1452,321,765,1306
201,691,University of Alaska Fairbanks,,1378,359,5100,786
202,706,Texas State University,,1273,497,626,1151
203,708,Villanova University,,1142,514,783,1098
204,710,California State University Northridge,,914,243,1049,1507
205,719,California State University Los Angeles,,2567,694,1314,820
206,722,Wright State University,,1608,627,873,985
207,726,University of California Merced,,1631,1018,338,848
208,727,Florida Institute of Technology,,2338,713,317,1023
209,737,Western Michigan University,,1088,391,1065,1339
210,746,Santa Clara University,,854,291,791,1574
211,750,University of Arkansas for Medical Sciences,,3271,1458,219,678
212,757,Oakland University,,2567,672,686,1007
213,759,(1) Marquette University,,1435,495,1034,1193
214,760,Boise State University,,1360,467,842,1275
215,771,Nova Southeastern University,,1608,432,897,1356
216,793,Institute for Advanced Study,,2710,964,731,908
217,794,California State University Long Beach,,1497,393,1051,1478
218,805,Clark University,,2941,564,752,1310
219,810,University of Dayton,,1838,442,1024,1437
220,820,University of Missouri Saint Louis,,1385,600,789,1375
221,820,University of Southern Mississippi,,1896,503,986,1407
222,828,James Madison University,,1344,401,1121,1597
223,838,Central Michigan University,,1319,629,629,1430
224,840,(3) University of Oklahoma Health Sciences Center,,3865,1612,580,732
225,848,New School,,2003,306,904,1857
226,858,Wesleyan University,,1452,449,689,1717
227,862,Appalachian State University,,1153,459,874,1692
228,867,University of Colorado System,,3312,2189,9110,127
229,869,(3) University of Tennessee Health Science Center Memphis,,3226,2671,356,592
230,870,University of Nebraska Omaha,,2471,613,1185,1379
231,872,Bucknell University,,876,415,1187,1742
232,876,University of Massachusetts Dartmouth,,2938,742,1043,1255
233,880,University of Alabama Huntsville,,3297,771,917,1255
234,886,Western Washington University,,1497,455,1000,1703
235,891,Santa Fe Institute,,5858,954,487,1171
236,892,Clarkson University,,2998,934,725,1193
237,892,Cleveland State University,,1756,646,856,1469
238,895,Chapman University,,2152,598,728,1563
239,901,Howard University,,2909,684,1561,1251
240,907,Augusta University (Georgia Regents University Augusta State University),,2543,2268,723,670
241,911,Texas Christian University,,1715,773,872,1385
242,915,Stevens Institute of Technology,,3924,955,890,1154
243,916,Loma Linda University,,3533,1086,861,1073
244,920,South Dakota State University,,2963,1077,1014,1069
245,923,Louisiana Tech University,,3785,1223,990,972
246,931,Ball State University,,2025,462,1477,1685
247,935,(1) California State University Fresno,,2914,994,1406,1104
248,937,University of South Dakota,,3779,772,1335,1294
249,943,Swarthmore College,,1202,285,1400,2125
250,946,University of Mississippi Medical Center,,5607,2035,555,783
251,948,University of Richmond,,1742,387,1143,1998
252,959,Uniformed Services University of the Health Sciences,,7025,2187,608,753
253,960,Wellesley College,,2204,573,988,1737
254,961,Smith College,,2106,461,965,1914
255,961,Idaho State University,,2715,650,1173,1570
256,966,Towson University (Baltimore Hebrew University),,2954,664,1150,1555
257,974,Montclair State University,,2437,703,1269,1507
258,977,University of Hawaii at Manoa,,1027,973,11401,271
259,984,(3) Texas A&M University Health Science Center,,5432,1861,464,915
260,984,University of Tulsa,,2518,739,1006,1541
261,984,Wichita State University,,2478,679,1033,1603
262,989,New Mexico Institute of Mining & Technology New Mexico Tech,,2609,733,1054,1541
263,991,Kennesaw State University,,1553,595,1008,1808
264,993,University of San Diego,,1756,546,1120,1829
265,1002,University of North Carolina Wilmington,,2006,662,1342,1620
266,1003,Hofstra University,,734,577,952,1940
267,1003,Pace University,,1553,473,1139,1982
268,1011,Western Kentucky University,,643,550,1106,1962
269,1019,State University of New York Upstate Medical University,,2421,1591,699,1076
270,1020,University of San Francisco,,2710,466,1341,1912
271,1020,Central European University Budapest / Közép-európai Egyetem,,1319,865,834,1585
272,1022,Duquesne University,,2367,837,922,1541
273,1033,College of Charleston,,1643,676,1287,1698
274,1039,Middlebury College,,1109,416,1198,2185
275,1046,Georgia Southern University,,2204,998,1081,1430
276,1052,East Tennessee State University,,2507,800,1208,1580
277,1061,(1) University of South Alabama,,3840,1445,534,1264
278,1067,Williams College,,1692,513,860,2132
279,1067,University of Colorado Colorado Springs,,2153,859,1009,1620
280,1067,Rowan University,,2992,913,941,1565
281,1085,University of New Orleans,,3750,1021,1605,1356
282,1086,Weill Medical College Cornell University,,2747,1680,11401,150
283,1100,Naval Postgraduate School,,1088,1101,864,1558
284,1101,University of Arkansas Little Rock,,2221,874,1385,1594
285,1108,Grand Valley State University,,1041,542,1378,2093
286,1110,(3) Texas Tech University Health Sciences Center,,4088,1956,535,1095
287,1118,Sam Houston State University,,2473,780,1665,1667
