ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1182,9614,Beijing College of Social Administration / 北京社会管理职业学院,,9236,6605,11401,6033
1183,9614,Hebei College of Science and Technology / 河北科技学院,,13438,6313,11401,6033
1184,9614,Quanzhou Medical College / 泉州医学高等专科学校,,12956,6346,11401,6033
1185,9614,Shanghai Police College / 上海公安高等专科学校,,15503,6157,11401,6033
1186,9621,Jiangxi Tellhow Animation Career Academy / 江西泰豪动漫职业学院,,10014,6558,11401,6033
1187,9628,Shanxi Academy of Arts / 山西艺术职业学院,,12179,6421,11401,6033
1188,9628,Tianjin Railway Technical & Vocational College / 天津铁道职业技术学院,,13678,6319,11401,6033
1189,9628,Hebei Jiaotong Vocational & Technical College / 河北交通职业技术学院,,14800,6235,11401,6033
1190,9640,Tangshan Polytechnic College / 唐山工业职业技术学院,,11466,6485,11401,6033
1191,9640,Quanzhou Institute of Information Engineering / 泉州信息工程学院,,12207,6432,11401,6033
1192,9640,Zhejiang College of Sports / 浙江体育职业技术学院,,9215,6642,11401,6033
1193,9649,Hunan Financial & Industrial Vocational-Technical College / 湖南财经工业职业技术学院,,12140,6459,11401,6033
1194,9657,Shanwei Polytechnic / 汕尾职业技术学院,,16343,6158,11401,6033
1195,9657,Tangshan Vocational & Technical College / 唐山职业技术学院,,10562,6581,11401,6033
1196,9665,Xiamen Security Science & Technology College / 厦门安防科技学院,,14848,6284,11401,6033
1197,9683,Zhongshan Torch Polytechnic / 中山火炬职业技术学院,,11118,6568,11401,6033
1198,9683,Hohhot Minzu College / 呼和浩特民族学院,,11272,6562,11401,6033
1199,9683,Jinken College of Technology / 金肯职业技术学院,,14916,6302,11401,6033
1200,9689,Changzhou Vocational Institute of Mechatronic Technology / 常州机电职业技术学院,,16169,6218,11401,6033
1201,9689,Suzhou Chien-Shiung Institute of Technology / 苏州健雄职业技术学院,,14019,6376,11401,6033
1202,9689,(3) Mingde College Northwestern Polytechnical University / 西北工业大学明德学院,,8355,6782,11401,6033
1203,9707,Guangxi City College / 广西城市职业学院,,11247,6591,11401,6033
1204,9707,Henan Polytechnic Institute / 河南工业职业技术学院,,16343,6223,11401,6033
1205,9715,Changchun Sci-Tech University / 长春科技学院,,13810,6429,11401,6033
1206,9715,Guangxi College of Water Resources and Electric Power / 广西水利电力职业技术学院,,16030,6252,11401,6033
1207,9725,Guangdong Xin'an Vocational Technical College / 广东新安职业技术学院,,18167,6101,11401,6033
1208,9725,Hubei College of Chinese Medicine / 湖北中医药高等专科学校,,9933,6689,11401,6033
1209,9725,Qiandongnan National Polytechnic / 黔东南民族职业技术学院,,9336,6740,11401,6033
1210,9725,Maoming Polytechnic / 茂名职业技术学院,,9907,6696,11401,6033
1211,9733,Harbin Institute of Information Technology / 哈尔滨信息工程学院,,14327,6407,11401,6033
1212,9733,Beihai College of Art and Design / 北海艺术设计学院,,13576,6460,11401,6033
1213,9733,Tianjin Youth Professional College / 天津青年职业学院,,26123,5308,11401,6033
1214,9733,Cangzhou Normal University / 沧州师范学院,,12038,6583,11401,6033
1215,9733,(1) Weifang Vocational College / 潍坊职业学院,,7959,6859,11401,6033
1216,9745,Huaibei Vocational & Technical College / 淮北职业技术学院,,17114,6205,11401,6033
1217,9752,Inner Mongolia Technical College of Mechanics and Electrics / 内蒙古机电职业技术学院,,11609,6626,11401,6033
1218,9752,(3) Dongchang College Liaocheng University / 聊城大学东昌学院,,13882,6466,11401,6033
1219,9752,(1) Shandong Business Institute / 山东商务职业学院,,13289,6516,11401,6033
1220,9764,Guangzhou Huaxia Technical College / 广州华夏职业学院,,11796,6637,11401,6033
1221,9764,Sichuan Water Conservancy Vocational College / 四川水利职业技术学院,,13552,6506,11401,6033
1222,9773,Beijing Professional Business Institute / 北京经贸职业学院,,13472,6526,11401,6033
1223,9773,Xi'an Haitang Vocational College / 西安海棠职业学院,,14313,6464,11401,6033
1224,9780,Xilingol Vocational College / 锡林郭勒职业学院,,7318,6960,11401,6033
1225,9786,Guangzhou Modern Information Engineering College / 广州现代信息工程职业技术学院,,13146,6578,11401,6033
1226,9786,Hebei Construction Material Vocational and Technical College / 河北建材职业技术学院,,10041,6791,11401,6033
1227,9796,Chongqing Creation Vocational College / 重庆科创职业学院,,14767,6458,11401,6033
1228,9796,Taiyuan Tourism College / 太原旅游职业学院,,12532,6627,11401,6033
1229,9796,Wuxi Institute of Arts & Technology / 无锡工艺职业技术学院,,15753,6386,11401,6033
1230,9796,Guangxi College of Sports and Physical Education / 广西体育高等专科学校,,9483,6841,11401,6033
1231,9808,Chongqing Electric Power College / 重庆电力高等专科学校,,24750,5586,11401,6033
1232,9817,Hunan Software Vocational Institute / 湖南软件职业学院,,14729,6491,11401,6033
1233,9817,Anhui Broadcasting Movie and Television College / 安徽广播影视职业技术学院,,10888,6753,11401,6033
1234,9817,Guangdong ATV Professional Academy for Performing Arts / 广东亚视演艺职业学院,,16296,6368,11401,6033
1235,9830,(1) Binzhou Polytechnic / 滨州职业学院,,12773,6654,11401,6033
1236,9830,Xi'an High Tech University / 西安高新科技学院,,13120,6624,11401,6033
1237,9830,Yunnan Forestry Technological College / 云南省林业技术学院,,21538,5929,11401,6033
1238,9830,Sichuan Top IT Vocational Institute / 四川托普信息技术职业学院,,10642,6801,11401,6033
1239,9839,Jiangxi Youth Vocational College / 江西青年职业学院,,13263,6633,11401,6033
1240,9839,Liaoning Advertising Vocational College / 辽宁广告职业学院,,11393,6746,11401,6033
1241,9849,(3) Shanghai Normal University Tianhua College / 上海师范大学天华学院,,9322,6913,11401,6033
1242,9849,Qingdao Qiushi College / 青岛求实职业技术学院,,15574,6470,11401,6033
1243,9857,Shanghai Vocational College of Science & Technology / 上海科学技术职业学院,,7484,7035,11401,6033
