Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1118;21100228536;"Journal of Destination Marketing and Management";journal;"2212571X";1,148;Q1;17;71;129;3691;289;95;3,03;51,99;United Kingdom;"Elsevier Limited";"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1)"
1119;5700152760;"Assessment & Evaluation in Higher Education";journal;"02602938, 1469297X";1,148;Q1;67;141;224;3656;437;219;1,69;25,93;United Kingdom;"Routledge";"Education (Q1)"
1120;24024;"Marine Pollution Bulletin";journal;"0025326X";1,147;Q1;136;906;2154;43607;7238;2028;3,30;48,13;United Kingdom;"Elsevier Ltd.";"Aquatic Science (Q1); Oceanography (Q1); Pollution (Q1)"
1121;25935;"Cytotherapy";journal;"14653249, 14772566";1,144;Q2;72;155;507;6168;1645;461;3,82;39,79;United Kingdom;"Elsevier Inc.";"Cancer Research (Q2); Genetics (clinical) (Q2); Immunology (Q2); Immunology and Allergy (Q2); Oncology (Q2); Transplantation (Q2); Cell Biology (Q3)"
1122;28082;"South European Society and Politics";journal;"13608746";1,143;Q1;29;28;91;1385;215;87;2,12;49,46;United Kingdom;"Frank Cass Publishers";"Sociology and Political Science (Q1)"
1123;24678;"Crystallography Reviews";journal;"0889311X";1,143;Q1;23;11;39;1032;55;25;2,73;93,82;United Kingdom;"Taylor & Francis";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Biochemistry (Q2); Structural Biology (Q2)"
1124;5100154503;"Road Materials and Pavement Design";journal;"14680629";1,143;Q1;33;294;231;5082;501;223;2,14;17,29;United Kingdom;"Taylor & Francis";"Civil and Structural Engineering (Q1)"
1125;21100791292;"Journal of Big Data";journal;"21961115";1,143;Q1;14;49;59;2427;492;58;8,81;49,53;United Kingdom;"Springer Open";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1)"
1126;21100853493;"Regenerative Biomaterials";journal;"20563418, 20563426";1,141;Q1;9;0;18;0;91;18;4,77;0,00;United Kingdom;"Oxford University Press";"Biomaterials (Q1)"
1127;25448;"BMC Clinical Pathology";journal;"14726890";1,141;Q1;29;28;82;692;225;81;2,77;24,71;United Kingdom;"BioMed Central";"Histology (Q1); Pathology and Forensic Medicine (Q1)"
1128;26939;"Building Research and Information";journal;"09613218, 14664321";1,141;Q1;65;94;191;3152;551;177;2,84;33,53;United Kingdom;"Taylor & Francis";"Building and Construction (Q1); Civil and Structural Engineering (Q1)"
1129;144732;"Journal of Science Teacher Education";journal;"1046560X";1,139;Q1;36;0;136;0;202;111;1,28;0,00;United Kingdom;"Taylor & Francis";"Education (Q1)"
1130;28373;"Hepatology Research";journal;"13866346";1,139;Q2;64;175;584;6748;1522;550;3,15;38,56;United Kingdom;"Blackwell Publishing Inc.";"Hepatology (Q2); Infectious Diseases (Q2)"
