ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
34,4993,Nyenrode Business University,,8658,3453,3109,6033
35,5041,Hotelschool The Hague / Den Haag,,16369,7166,5995,4908
36,5055,Avans University of Professional Education / Avans Hogeschool,,3924,3043,5372,6033
37,5327,CAE Oxford Aviation Academy (CAE Global Academy Amsterdam Flight School),,10550,2517,7832,6033
38,5341,Windesheim University of Professional Education,,6588,3850,5003,6033
39,5929,ArtEZ Hogeschool voor de Kunsten / Institute of the Arts,,5653,3119,9576,6033
40,6092,University for Humanistics / Universiteit voor Humanistiek,,6170,7012,3364,6033
41,6126,Van Hall Larenstein,,4875,7257,3382,6033
42,6263,Amsterdam School of the Arts / Amsterdamse Hogeschool voor de Kunsten AHK,,2639,2996,10875,6033
43,6355,Hogeschool Rotterdam / Rotterdam University of Applied Sciences,,8568,3688,11401,5580
44,6485,Stenden University (CHN and Drenthe University),,16584,5149,7392,6033
45,6500,TIAS School for Business and Society,,11820,6915,5116,6033
46,7159,Design Academy Eindhoven,,9169,3262,11401,6033
47,7415,University College Roosevelt (Roosevelt Academy Middelburg),,14424,10742,2344,6033
48,7422,Gerrit Rietveld Academie,,5226,3830,11401,6033
49,7577,Ede Christian University of Professional Education / Christelijke Hogeschool Ede,,16150,7133,8296,6033
50,7781,Royal Academy of Art The Hague,,7568,4200,11401,6033
51,8032,(3) Erasmus University Rotterdam Institute for Housing and Urban Development Studies,,20718,8425,7229,6033
52,8140,NHL Stenden Hogeschool,,14178,4367,11401,6033
53,8253,AERES,,13146,10106,6167,6033
54,8560,Protestant Theological University / Protestantse Theologische Universiteit,,9814,9589,8001,6033
55,8753,THIM hogeschool voor fysiotherapie,,18726,4904,11401,6033
56,8787,Royal Academy of Music and Dance / Koninklijk Conservatorium Den Haag,,11996,5347,11401,6033
57,8910,LOI Distance Education,,15265,5285,11401,6033
58,9441,Rotterdams Conservatorium / CODARTS Hogeschool voor de Kunsten,,14848,5983,11401,6033
59,9579,NTI Distance Education,,11634,6398,11401,6033
60,10142,Sandberg Institute,,12302,7114,11401,6033
61,10209,Royal Academy of Visual Arts / Rijksakademie van Beeldende Kunsten,,12414,7212,11401,6033
62,10511,ROC van Twente,,15600,7353,11401,6033
63,11283,Aeres Hogeschool,,14055,8445,11401,6033
64,11378,HAS Hogeschool,,19284,8160,11401,6033
65,11451,TIO University of Aplied Sciences Tourism Professional Education,,14865,8614,11401,6033
66,11619,Christian Institute for Higher Professional Education de Driestar,,10129,9106,11401,6033
67,11925,ROC Aventus,,10782,9446,11401,6033
68,12339,(1) Hogeschool Van Hall Larenstein,,14441,9770,11401,6033
69,12506,(1) Iselinge Hogeschool,,12732,10090,11401,6033
70,12514,Wittenborg Business University / Hogeschool Wittenborg,,12179,10135,11401,6033
71,12644,Johan Cruyff Institute,,16169,10045,11401,6033
72,12765,Webster University Leiden,,17624,10066,11401,6033
73,12984,VIAA Zwolle (Gereformeerde Hogeschool Zwolle),,16263,10461,11401,6033
74,13244,Hotelschool Maastricht,,16169,10805,11401,6033
75,13861,Kampen Theological University / Theologische Universiteit,,15868,11609,11401,6033
