World Rank;University;Det.;Presence Rank*;Impact Rank*;Openness Rank*;Excellence Rank*
269;Université Libre de Bruxelles;;824;356;127;280
269;Università degli Studi di Firenze;;623;507;250;182
271;University of Aberdeen;;873;295;200;314
272;University of Cape Town;;542;411;183;250
272;Rensselaer Polytechnic Institute;;993;122;189;560
274;University of Manitoba;;816;268;361;322
275;Baylor College of Medicine;;2278;623;74;142
276;University of Colorado Denver;;1223;523;100;192
276;University of Vermont;;865;154;133;501
278;Universität Basel;;289;440;187;242
279;Beijing Normal University / 北京师范大学;;848;337;496;237
280;Tianjin University / 天津大学;;1497;486;466;149
280;Umea University / Umeå Universitet;;645;260;399;342
282;Sichuan University / 四川大学;;1007;474;533;157
282;University of Texas Dallas;;1273;298;210;309
284;University of Wollongong;;798;311;274;301
285;(1) Korea University / 고려대학교;;606;567;136;191
286;Universidade Estadual de Campinas UNICAMP;;292;319;298;331
287;Technion Israel Institute of Technology;;592;412;222;261
287;(1) Yonsei University / 연세대학교;;407;572;277;182
289;Universität Würzburg;;702;427;348;230
289;Chalmers University of Technology;;581;280;433;336
289;Jilin University / 吉林大学;;878;487;537;167
292;Nankai University / 南开大学;;973;452;394;200
293;University of East Anglia;;1273;300;225;343
294;University of Technology Sydney;;1142;308;288;325
294;Griffith University;;1088;367;357;264
296;Kyushu University / 九州大学;;662;413;391;243
297;Universitat Politècnica de Catalunya BarcelonaTech;;252;317;547;319
298;Aalborg University / Aalborg Universitet;;337;445;205;274
299;RMIT University;;1164;229;414;386
300;Université de Paris XI / Université Paris Sud (comUE Université Paris Saclay);;1422;753;389;97
301;Hokkaido University / 北海道大学;;466;370;262;316
302;Weizmann Institute of Science;;695;410;135;310
303;University of Saskatchewan;;814;233;299;411
304;Université Grenoble Alpes (Communauté Université Grenoble Alpes);;1310;1344;342;32
305;National Chiao Tung University;;320;254;285;434
305;Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学;;914;446;566;213
307;University of Texas Southwestern Medical Center at Dallas;;2978;663;60;166
308;Tokyo Institute of Technology / 東京工業大学;;634;477;95;286
309;San Diego State University;;909;137;305;575
310;Clemson University;;1075;155;412;504
311;University of Surrey;;1366;217;329;427
312;Queen's University Belfast;;765;384;398;294
313;Deakin University;;1130;414;325;279
314;Keio University / 慶応義塾大学;;581;219;673;402
315;Central South University (Zhongnan University) / 中南大学;;843;592;550;171
315;University of New Hampshire;;820;135;218;619
317;Lancaster University;;1537;430;150;300
318;University of Ljubljana / Univerza v Ljubljani;;121;327;779;351
319;National Tsing Hua University Taiwan;;494;293;514;376
320;Universidad de Zaragoza;;26;420;411;393
321;Utah State University;;401;132;587;597
322;Friedrich Schiller Universität Jena;;59;519;425;290
323;Boston College;;925;128;221;658
324;University of Bath;;753;265;328;425
325;National Cheng Kung University;;298;345;401;373
326;Universidad Politécnica de Valencia;;310;333;499;372
326;University of Alabama;;883;180;360;520
328;University of North Texas;;109;147;339;669
329;Universität Stuttgart;;611;263;410;432
330;West Virginia University;;807;214;393;487
331;University of Guelph;;643;246;442;447
331;South China University of Technology / 华南理工大学;;790;668;440;169
331;Christian Albrechts Universität zu Kiel;;717;354;313;375
334;Université Catholique de Louvain;;627;611;169;254
335;Universidade de Coimbra;;356;382;468;362
335;University of Otago;;1223;423;240;341
337;Wake Forest University;;1273;323;648;340
338;Charité Universitätsmedizin Berlin;;1530;901;251;119
339;Université de Lausanne;;634;485;234;320
339;Universidad de Sevilla;;239;343;568;387
341;Oklahoma State University Stillwater;;774;188;448;530
342;(1) Friedrich Alexander Universität Erlangen Nürnberg FAU;;655;767;386;159
343;University of Reading;;756;335;237;408
344;Università degli Studi di Genova;;824;545;344;263
345;Universität Duisburg Essen;;668;451;680;273
346;University of Tsukuba / 筑波大学;;744;369;483;366
346;Free University of Brussels / Vrije Universiteit Brussel VUB;;1109;381;530;353
346;Carleton University;;925;252;373;480
346;University of Dundee;;1537;364;158;398
350;Dalian University of Technology / 大连理工大学;;484;532;956;214
351;Texas Tech University;;824;269;211;506
352;Ruhr Universität Bochum;;765;357;1315;282
353;Tulane University;;1094;259;337;488
354;National Technical University of Athens;;513;389;82;464
355;Auburn University;;934;186;403;574
356;Universitat Pompeu Fabra;;472;349;421;405
357;University of Newcastle;;1435;453;267;346
357;Universidad de Chile;;225;330;570;428
359;Yeshiva University;;2196;547;203;278
359;Open University UK;;639;171;323;631
361;University College Cork;;856;378;241;418
362;Universidade Estadual Paulista Júlio de Mesquita Filho;;366;559;103;369
363;Université de Paris VII / Université Paris Diderot (comUE Université Sorbonne Paris Cité);;1148;1036;716;85
364;University at Albany;;1422;236;521;491
365;Technische Universität Darmstadt;;704;366;597;388
366;Universität Innsbruck;;1047;363;297;419
367;Soochow University / 苏州大学;;1319;708;311;219
368;Universidade Federal do Rio Grande do Sul UFRGS;;223;399;471;421
368;Lanzhou University / 兰州大学;;1127;408;600;361
370;University of Southern Denmark / Syddansk Universitet;;678;575;371;297
371;University of Wisconsin Milwaukee;;1011;249;396;544
372;Universität Bremen;;865;297;437;510
373;Kent State University;;940;196;243;682
374;University of Malaya;;378;899;431;198
375;Heinrich Heine Universität Düsseldorf;;1516;597;291;318
376;University of South Australia;;714;494;370;383
377;London School of Hygiene & Tropical Medicine;;1223;794;278;236
378;University of Strathclyde;;824;397;478;441
379;Kansas State University;;788;266;1248;464
380;Beijing Institute of Technology / 北京理工大学;;1020;548;585;328
381;University of Texas Arlington;;1088;396;162;508
382;École Normale Supérieure ENS Paris (comUE Université Paris PSL);;1114;591;347;347
383;Chongqing University / 重庆大学;;1177;599;506;302
384;Universität Ulm;;1177;576;522;323
385;Loughborough University;;1130;377;408;472
385;Hanyang University / 한양대학교;;143;757;296;326
387;Universidad de Buenos Aires;;284;426;634;445
387;Università degli Studi di Trento;;899;566;265;381
389;University of Mississippi;;1293;400;427;450
390;University of Louisville;;1252;409;472;435
391;Southern Methodist University;;1059;209;256;717
392;Université de Strasbourg;;603;813;515;239
393;Università degli Studi di Roma Tor Vergata;;807;823;283;269
393;Concordia University Montréal;;993;310;469;542
393;University of Massachusetts Medical School at Worcester;;2032;624;101;385
393;Justus Liebig Universität Giessen;;273;635;375;379
397;East China Normal University / 华东师范大学;;694;425;666;433
398;Maastricht University / Universiteit Maastricht;;1070;802;163;296
399;Portland State University;;12;215;378;890
400;University of Warsaw / Uniwersytet Warszawski;;440;353;984;478
401;Université d’Aix Marseille / Aix Marseille Université;;993;1190;439;145
402;University of Tasmania;;771;500;446;415
403;La Trobe University;;1260;428;392;477
404;University of Arkansas Fayetteville;;629;257;388;675
404;Universität Regensburg;;730;472;764;397
406;University of Turku / Turun yliopisto;;774;590;582;373
407;Universität Hannover;;899;334;451;566
407;Philipps Universität Marburg;;967;540;532;394
409;University of Kent;;1036;294;460;606
410;Ben Gurion University of the Negev;;816;531;551;401
411;Jagiellonian University / Uniwersytet Jagielloński;;349;506;844;408
412;University of Oulu / Oulun yliopisto;;977;501;510;431
413;University of Antwerp / Universiteit Antwerpen;;954;953;334;249
414;Universität Bielefeld;;56;402;494;626
415;Brandeis University;;1471;262;351;676
416;University of Maryland Baltimore County;;973;240;424;721
417;Universität des Saarlandes;;623;522;735;408
417;Politecnico di Torino;;848;555;781;384
419;Czech Technical University in Prague / České Vysoké Učení Technické v Praze;;354;374;788;543
419;University of Tehran;;232;784;652;329
421;James Cook University;;1148;582;300;436
422;Universidade Federal de Minas Gerais UFMG;;346;584;435;458
423;Baylor University;;942;234;480;726
424;Saint Petersburg State University / Санкт Петербургский государственный университет;;323;429;197;629
425;Université de Paris V / Université Paris Descartes (comUE Université Sorbonne Paris Cité);;565;1256;561;169
426;University of Birmingham;;1548;286;9431;106
427;Universidade do Minho;;650;637;379;417
428;(1) Sungkyunkwan University / 성균관대학교;;761;1322;281;194
428;Universität Potsdam;;810;480;426;512
428;University of Tartu / Tartu Ülikool;;186;539;294;546
431;Université du Québec Montréal;;510;342;541;622
432;King Saud University;;639;923;759;245
433;Universidade Federal de Santa Catarina UFSC;;154;324;782;644
434;(1) University of Chinese Academy of Sciences / 中国科学院大学;;1293;2140;1021;46
435;Michigan Technological University;;675;182;755;800
435;China Agricultural University / 中国农业大学;;1260;561;712;399
437;Brunel University;;2272;554;177;489
438;Rochester Institute of Technology;;588;130;476;1011
439;University of Missouri Kansas City;;1374;272;542;691
440;Masaryk University in Brno / Masarykova Univerzita v Brně;;83;395;906;616
441;(3) University of Texas Health Science Center at San Antonio;;2040;729;109;423
442;Université de Bordeaux (ComUE d'Aquitaine);;1497;956;363;285
442;Medical University of South Carolina;;2752;775;263;363
444;Universidade Nova de Lisboa;;618;641;404;462
445;Université de Nice / Université Nice Sophia Antipolis (comUE Université Côte d'Azur);;1181;581;526;461
446;University of the Witwatersrand;;1185;741;444;376
447;Hiroshima University / 広島大学;;652;528;706;484
448;Flinders University;;1756;571;364;479
449;Memorial University of Newfoundland;;1070;344;560;636
450;Universidad de Murcia;;14;520;705;640
451;Shanghai University / 上海大学;;1271;642;574;413
451;University of Pretoria;;54;728;453;490
453;Universidad del País Vasco / Euskal Herriko Unibertsitatea;;327;903;894;305
454;Waseda University / 早稲田大学;;1027;543;420;519
455;National Central University / 國立中央大學;;81;633;387;554
456;Hong Kong Baptist University;;276;463;649;586
457;Pontificia Universidad Católica de Chile;;91;723;913;406
458;Illinois Institute of Technology;;1217;278;452;769
