10311;Western International University;;21662;6612;11401;6033
10311;Arab Open University Jordan;;21392;15460;6341;5580
10311;Austin Presbyterian Theological Seminary;;10590;7457;11401;6033
10311;Mid America Christian University;;17462;6975;11401;6033
10311;North Lake College;;9273;7556;11401;6033
10311;Rend Lake College;;7624;7669;11401;6033
10311;Shandong Judicial Police Vocational College / 山东司法警官职业学院;;16584;7040;11401;6033
10311;Suzhou Top Institute of Information Technology / 苏州托普信息职业技术学院;;14385;7198;11401;6033
10311;Tianjin Urban Construction Management & Vocational Technical College / 天津城市建设管理职业技术学院;;9366;7544;11401;6033
10311;Université Catholique de l'Afrique de l'Ouest UCAO Unité Universitaire au Togo UUT;;18550;6895;11401;6033
10311;Universidade do Estado do Pará UEPA;;9147;21635;11401;3625
10323;Acropolis Institute of Technology and Research;;15032;7168;11401;6033
10323;École Internationale des Sciences du Traitement de l’information EISTI (Institut Polytechnique du Grand Paris) (comUE Université Paris Seine);;8991;7580;11401;6033
10323;Green University of Bangladesh;;4753;13386;6828;6033
10323;Guangxi Polytechnic of Modern / 广西现代职业技术学院;;13810;7258;11401;6033
10323;(1) Huzhou Vocational & Technical College / 湖州职业技术学院;;11082;7439;11401;6033
10323;Laredo Community College;;6987;7735;11401;6033
10323;Longnan Teachers College / 陇南师范高等专科学校;;8288;7626;11401;6033
10330;Livingstone College;;17088;7032;11401;6033
10330;Morton College;;8863;7599;11401;6033
10330;New England Culinary Institute;;21265;6667;11401;6033
10330;S A Engineering College;;17048;13630;5012;6033
10330;Anhui Academy of Economics & Management Anhui Administration Institute / 安徽行政学院安徽经济管理学院;;8027;7659;11401;6033
10330;Amur State University of Humanities and Pedagogy (Komsomolsk-on-Amur State Pedagogical University) / Амурский гуманитарно-педагогический государственный университет;;8584;7625;11401;6033
10330;Petro Mohyla Black Sea National University / Чорноморський національний університет Петра Могили;;319;16561;4113;6033
10330;Cyprus International Institute of Management;;10962;7455;11401;6033
10330;Tourism College of Zhejiang / 浙江旅游职业学院;;27410;5453;11401;6033
10330;Yantai Automobile Engineering Professional College / 烟台汽车工程职业学院;;15503;7143;11401;6033
10330;Henan Police College / 河南警察学院;;7624;7696;11401;6033
10341;Technical College of the Lowcountry;;7205;7739;11401;6033
10341;Norwalk Community College;;12956;7340;11401;6033
10341;Università Pontificia Antonianum;;14264;13013;11401;5064
10341;Blue Ridge Community College Virginia;;11907;7407;11401;6033
10341;Brightwood College (TESST College of Technology);;15325;7161;11401;6033
10346;Caldwell Community College and Technical Institute;;12614;7372;11401;6033
10346;Cincinnati Christian University;;12254;7397;11401;6033
10346;Lipetsk State Pedagogical University / Липецкий государственный педагогический университет;;8246;12608;7500;6033
10346;FLACSO Chile Facultad Latinoamericana de Ciencias Sociales;;13761;12585;10235;5580
10346;(3) Kagawa University Faculty of Medicine / Graduate School of Medicine / 香川大学 医学部;;9257;7598;11401;6033
10346;Tunxis Community College;;11820;7419;11401;6033
10346;University College of Technology Sarawak;;15294;14328;4231;6033
10346;University of Hafr Al Batin;;17739;13894;4554;6033
10346;(3) College of Arts and Sciences Yunnan Normal University / 云南师范大学文理学院;;24309;6350;11401;6033
10355;East Kazakhstan State University S Amanzholov;;2975;11475;9462;6033
10355;Xi'an Autotechnology Vocational College / 西安汽车科技职业学院;;18740;6936;11401;6033
10355;(3) Science and Technology College of Hubei University for Nationalities / 湖北民族学院科技学院;;16584;7090;11401;6033
10355;Hochschule für Gestaltung Schwäbisch Gmund;;12323;7406;11401;6033
10355;Heilongjiang Preschool Education College / 黑龙江幼儿师范高等专科学校;;12681;7374;11401;6033
10355;Adeleke University Ede;;13004;11911;7956;6033
10355;Anhui Vocactional & Technical College of Industry & Trade / 安徽工贸职业技术学院;;16215;7124;11401;6033
10362;Cairn University (Philadelphia Biblical University);;5798;7904;11401;6033
10362;Cleveland University Kansas City;;17329;7049;11401;6033
10362;Confederation College;;7876;7729;11401;6033
10362;Dronacharya College of Engineering;;6559;12832;7417;6033
10362;State University of Information and Communication Technologies / Державний Університет Телекомунікацій;;2122;12712;8327;6033
10362;Universitas Merdeka Pasuruan;;15944;10321;9576;6033
10362;Nippon Bunri University / 日本文理大学;;6987;7795;11401;6033
10362;Ozark Christian College;;12207;7424;11401;6033
10362;Gerstner Sloan-Kettering Graduate School of Biomedical Sciences;;8698;12074;8136;6033
10362;Sekolah Tinggi Manajemen Informatika dan Teknik Komputer STMIK STIKOM Bali;;5904;13046;7160;6033
10362;Kaluga State Pedagogical University / Калужский государственный университет К Э Циолковского;;8793;13156;6739;6033
10373;Vinnitsa State Agrarian University / Вінницький національний аграрний університет;;4268;10017;10542;6033
10373;Zaozhuang Vocational College of Science & Technology / 枣庄科技职业学院;;12843;7388;11401;6033
10373;Saint Petersburg State University of Cinema and Television / Санкт Петербургский государственный университет кино и телевидения;;4594;8055;11401;6033
10373;Arab International University Damascus;;5773;14626;4967;6033
10373;Dubai Pharmacy College;;23917;16155;5062;5580
10373;Liaoyuan Vocational Technical College / 辽源职业技术学院;;21548;6688;11401;6033
10373;Lanzhou College of Foreign Studies / 兰州外语职业学院;;10076;7581;11401;6033
10373;Minnesota West Community and Technical College;;10753;7534;11401;6033
10381;Longy School of Music;;15672;7205;11401;6033
10381;Mineral Area College;;7744;7763;11401;6033
10381;Miyazaki Municipal University / 宮崎公立大学;;10004;7591;11401;6033
10381;Osh State University;;429;9094;11401;6033
10381;Hunan Institute of Technology / 湖南工学院;;9025;7672;11401;6033
10381;Surry Community College;;11709;7480;11401;6033
10381;University Tibiscus Timisoara;;11725;10945;9258;6033
10381;Unidad Central del Valle del Cauca;;9439;13824;9462;5580
10381;Corporación Universitaria Comfacauca;;7521;10485;10027;6033
10381;Universidad Femenina del Sagrado Corazón;;5525;11398;9258;6033
10391;Maine Media College;;15753;7214;11401;6033
10391;Carl Sandburg College;;10607;7566;11401;6033
10391;Professional Arts Institute of Hubei / 湖北艺术职业学院;;25390;6266;11401;6033
10391;Constanta Maritime University / Universitatea Maritimă din Constanţa;;13200;13385;6004;6033
10391;Connors State College;;7704;7773;11401;6033
10391;Hebei University of Environmental Engineering / 河北环境工程学院;;11981;7479;11401;6033
10397;Central Ohio Technical College;;10550;7583;11401;6033
10397;Changsha Vocational & Technical College / 长沙职业技术学院;;16048;7200;11401;6033
10397;Tibet Vocational Technical College / 西藏职业技术学院;;20334;6861;11401;6033
10397;Technical University of Mombasa (Mombasa Polytechnic University College);;4897;14328;5566;6033
10397;Jinan Engineering Vocational Technical College / 济南工程职业技术学院;;7205;7838;11401;6033
10397;Jiuzhou Polytechnic / 九州职业技术学院;;19489;6933;11401;6033
10397;Meridian Community College;;4608;8095;11401;6033
10404;Liaoning Geology Engineering Vocational College / 辽宁地质工程职业学院;;11751;7523;11401;6033
10404;Baton Rouge Community College;;11840;7507;11401;6033
