ranking;Researcher;University;Citations;H-Index
270;Douglass C North;Washington University in St Louis;120759;86
271;Robert R McCrae;;120106;136
272;Alexei V Filippenko;University of California Berkeley;120014;144
273;Chad Mirkin;Northwestern University;119986;155
274;Klaus Honscheid;Ohio State University;119946;135
275;David Tilman;University of Minnesota;119801;148
276;Joseph Schlessinger;Yale University;119794;171
277;Weitao Yang;Duke University;119499;78
278;John Cacioppo;University of Chicago;119417;143
279;Paul Costa;Duke University;118718;141
280;Scott Shenker;University of California Berkeley;118675;143
281;Marcus E Raichle;Washington University in St Louis;118479;156
282;Krzysztof Matyjaszewski;Carnegie Mellon University;118362;168
283;Rolph Anderson;Drexel University;118191;45
283;Steven R Cummings;CPMC Research Institute;;
285;Gene Myers;Max-Planck Institute for Molecular Cell Biology & Genetics;118172;62
286;Peidong Yang;University of California Berkeley;118067;157
287;Darien Wood;Northeastern University;117671;146
288;M Saleem;University of Oklahoma;;
289;Bernard Bass;Binghamton University;117294;86
290;Stephen R Bloom;Imperial College London;117252;164
291;M A K Halliday;University of Sydney;117147;96
292;Michael I Posner;University of Oregon;117126;138
293;Alan Evans;McGill University;116589;173
294;Andrew Zisserman;Oxford University;116396;133
295;Justin Albert;University of Victoria;116280;156
296;Frank J Gonzalez;National Cancer Institute NIH;116156;167
297;Gregg L Semenza;Johns Hopkins University;116151;157
298;Andreas Warburton;McGill University;116047;155
299;Luigi Ferrucci;National Institute on Aging NIH;115798;158
300;K Bloom;University of Nebraska Lincoln;115725;145
301;Giovanni Marchiori;IN2P3;115521;136
302;Tomas Hökfelt;Karolinska Institute;115211;170
303;Jeffrey Ullman;Stanford University;115179;106
304;Paul Ekman;;114940;116
305;Jordan Nash;Monash University;114897;144
306;Ralph Weissleder;Massachusetts General Hospital;113896;168
307;Douglas Easton;University of Cambridge;113725;159
308;Clara Troncon;Istituto Nazionale di Fisica Nucleare;113724;137
309;Xiaosong Li;University of Washington;113577;36
310;Jonathan D Jones;Sainsbury Lab;113478;142
311;David A Kenny;University of Connecticut;113468;87
312;U K Yang;Seoul National University;113407;142
313;Jean Tirole;Toulouse School of Economics;113385;126
314;Harold Mooney;Stanford University;113314;145
315;Alberto Ruiz Jimeno;Universidad de Cantabria;113215;143
316;Patrizia Azzi;Istituto Nazionale di Fisica Nucleare;113073;154
317;Barry Babin;Louisiana Tech University;113034;53
318;Alan D Lopez;University of Melbourne;112880;111
319;Wing To;Case Western Reserve University;112715;146
320;Omar Yaghi;University of California Berkeley;112628;126
321;Adi Gazdar;University of Texas Southwestern Medical Center;112541;164
322;Bruce Yabsley;University of Sydney;112494;137
323;Stefano Giagu;Sapienza Università di Roma;112410;138
324;Ronald L Rivest;Massachusetts Institute of Technology MIT;112316;89
325;Benjamin Brau;University of Massachusetts Amherst;112209;139
326;John R Searle;University of California Berkeley;112193;95
327;Deborah Estrin;Cornell University;;
328;Stephen R Forrest;University of Michigan;112162;149
329;S L Zang;Nanjing University;112146;130
330;Richard A Posner;University of Chicago;112065;140
331;Ross Levine;University of California Berkeley;112003;101
332;Viktor N Staroverov;University of Western Ontario;111914;43
333;Fred D Davis;Texas Tech University;111894;38
334;Colin Mathers;World Health Organization;111858;92
335;Brian Foster;University of Hamburg;;
336;Matt Challacombe;on-ness inc;111647;57
337;Julian Higgins;University of Bristol;111542;93
338;Nicolo de Groot;Radboud University Nijmegen;111249;141
339;Jeffrey Pfeffer;Stanford University;111247;106
340;Joe Felsenstein;University of Washington;111089;72
341;Richard L Martin;Los Alamos National Laboratory;110591;93
342;Ralph DeFronzo;University of Texas Health Science Center San Antonio;110420;151
343;Daniel Claes;University of Nebraska Lincoln;110409;139
344;Duncan Carlsmith;University of Wisconsin Madison;110302;154
345;Jose Ocariz;LPNHE IN2P3;;
346;Asiri Nanayakkara;Institute of Fundamental Studies;109925;52
347;Albert Einstein;Institute of Advanced Studies Princeton;109877;108
348;Paul A Samuelson;Massachusetts Institute of Technology MIT;109862;109
349;Charles M Perou;University of North Carolina at Chapel Hill;109828;117
350;Didier Raoult;Aix Marseille Université;;
351;Terrence Sejnowski;Francis Crick Institute;;
352;David R Matthews;University of Oxford;109563;88
353;Michelangelo Mangano;CERN European Organization for Nuclear Research;109539;129
354;Lam Ching Wan;University of Hong Kong;109296;131
355;Paul Jackson;University of Adelaide;109210;136
356;Francesco Ragusa;;109054;128
357;Marco Marra;BC Cancer Agency;;
358;Hrant P Hratchian;University of California Merced;108905;36
359;Russel J Reiter;University of Texas Health Science Center San Antonio;108704;160
360;R Bagozzi;University of Michigan;108631;103
361;Dipanwita Dutta;Bhabha Atomic Research Centre;108622;142
362;Bharat B Aggarwal;University of Texas MD Anderson Cancer Center;108616;172
363;Richard Thaler;University of Chicago, Booth School of Business;108607;92
364;Lorenzo Bellagamba;Istituto Nazionale di Fisica Nucleare Bologna;108326;121
365;Roger Moore;University of Alberta;108270;140
366;Craig Rogers;Henry Ford Hospital;108166;111
367;Zena Werb;University of California San Francisco;108013;158
368;John Yates;Scripps Research Institute;107953;164
369;Ronald Lipton;Fermilab Fermi National Accelerator Laboratory;107904;138
370;A John Rush;Duke National University of Singapore;107657;141
371;John von Neumann;Princeton University;107592;91
